linkedinUrl,num_employees,six_month_growth,twelve_month_growth,two_year_growth,insights_unreachable,timestamp
https://www.linkedin.com/company/ihstowers/,1702,0.04,0.09,0.17,False,2020-10-28 13:42:05.945906
https://www.linkedin.com/company/andela/,1463,0.14,0.3,0.04,False,2020-10-28 13:42:14.709414
https://www.linkedin.com/company/opay/,1091,0.07,0.06,,False,2020-10-28 13:42:21.725789
https://www.linkedin.com/company/mainone-cable-company/,452,0.01,0.02,0.2,False,2020-10-28 13:46:03.146010
https://www.linkedin.com/company/beloxxi-industries-limited/,254,0.02,0.09,0.4,False,2020-10-28 13:46:07.869110
https://www.linkedin.com/company/konga-online-shopping-ltd/,880,0.02,0.02,0.07,False,2020-10-28 13:46:13.396251
